Subject,Start Date,Start Time,End Date,End Time,All day event,Description,Show time as,Location
Rosh Chodesh Sh'vat,7/1/2019,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,21/1/2019,,,,TRUE,New Year for Trees,3,Jewish Holidays
Rosh Chodesh Adar I,5/2/2019,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar I,6/2/2019,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Purim Katan,19/2/2019,,,,TRUE,Minor Purim celebration during Adar I on leap years,3,Jewish Holidays
Shabbat Shekalim,2/3/2019,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar II,7/3/2019,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Rosh Chodesh Adar II,8/3/2019,,,,TRUE,Beginning of new Hebrew month of Adar II (on leap years),3,Jewish Holidays
Shabbat Zachor,16/3/2019,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,20/3/2019,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,20/3/2019,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,21/3/2019,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,22/3/2019,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,30/3/2019,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Rosh Chodesh Nisan,6/4/2019,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaChodesh,6/4/2019,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Shabbat HaGadol,13/4/2019,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,19/4/2019,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,19/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,20/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,21/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),22/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),23/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),24/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),25/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,26/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,27/4/2019,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,2/5/2019,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,5/5/2019,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,6/5/2019,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,8/5/2019,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,9/5/2019,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,19/5/2019,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,23/5/2019,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,2/6/2019,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,4/6/2019,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,8/6/2019,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,9/6/2019,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,10/6/2019,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,3/7/2019,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,4/7/2019,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,21/7/2019,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,2/8/2019,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,10/8/2019,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,10/8/2019,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,11/8/2019,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tu B'Av,16/8/2019,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Shabbat Nachamu,17/8/2019,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Rosh Chodesh Elul,31/8/2019,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,1/9/2019,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,21/9/2019,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,29/9/2019,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5780,30/9/2019,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,1/10/2019,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Tzom Gedaliah,2/10/2019,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Shabbat Shuva,5/10/2019,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Erev Yom Kippur,8/10/2019,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,9/10/2019,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,13/10/2019,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,14/10/2019,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,15/10/2019,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),16/10/2019,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),17/10/2019,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),18/10/2019,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),19/10/2019,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VII (Hoshana Raba),20/10/2019,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,21/10/2019,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,22/10/2019,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,29/10/2019,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,30/10/2019,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,5/11/2019,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,27/11/2019,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,28/11/2019,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Rosh Chodesh Kislev,29/11/2019,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,22/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,23/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,24/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,25/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,26/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,27/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,28/12/2019,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 7 Candles,28/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,29/12/2019,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 8 Candles,29/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8th Day,30/12/2019,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Asara B'Tevet,7/1/2020,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,27/1/2020,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,10/2/2020,,,,TRUE,New Year for Trees,3,Jewish Holidays
Shabbat Shekalim,22/2/2020,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Rosh Chodesh Adar,25/2/2020,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,26/2/2020,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Shabbat Zachor,7/3/2020,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,9/3/2020,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,9/3/2020,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,10/3/2020,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,11/3/2020,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,14/3/2020,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Shabbat HaChodesh,21/3/2020,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Rosh Chodesh Nisan,26/3/2020,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Shabbat HaGadol,4/4/2020,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Ta'anit Bechorot,8/4/2020,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Erev Pesach,8/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,9/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,10/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),11/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),12/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),13/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),14/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,15/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,16/4/2020,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,21/4/2020,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,24/4/2020,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,25/4/2020,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,28/4/2020,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,29/4/2020,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,8/5/2020,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,12/5/2020,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,22/5/2020,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,24/5/2020,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,28/5/2020,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,29/5/2020,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,30/5/2020,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,22/6/2020,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,23/6/2020,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,9/7/2020,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,22/7/2020,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,25/7/2020,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
Erev Tish'a B'Av,29/7/2020,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Tish'a B'Av,30/7/2020,,,,TRUE,The Ninth of Av; fast commemorating the destruction of the two Temples,3,Jewish Holidays
Shabbat Nachamu,1/8/2020,,,,TRUE,Shabbat after Tish'a B'Av (Shabbat of Consolation),3,Jewish Holidays
Tu B'Av,5/8/2020,,,,TRUE,Jewish holiday of love; similar to Valentine's Day,3,Jewish Holidays
Rosh Chodesh Elul,20/8/2020,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Rosh Chodesh Elul,21/8/2020,,,,TRUE,Beginning of new Hebrew month of Elul,3,Jewish Holidays
Leil Selichot,12/9/2020,,,,TRUE,Prayers for forgiveness in preparation for the High Holidays,3,Jewish Holidays
Erev Rosh Hashana,18/9/2020,,,,TRUE,The Jewish New Year,3,Jewish Holidays
Rosh Hashana 5781,19/9/2020,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Rosh Hashana II,20/9/2020,,,,TRUE,The Jewish New Year,4,Jewish Holidays
Tzom Gedaliah,21/9/2020,,,,TRUE,Fast of the Seventh Month; commemorates the assassination of the Jewish governor of Judah,3,Jewish Holidays
Shabbat Shuva,26/9/2020,,,,TRUE,Shabbat that falls between Rosh Hashanah and Yom Kippur (Shabbat of Returning),3,Jewish Holidays
Erev Yom Kippur,27/9/2020,,,,TRUE,Day of Atonement,3,Jewish Holidays
Yom Kippur,28/9/2020,,,,TRUE,Day of Atonement,4,Jewish Holidays
Erev Sukkot,2/10/2020,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot I,3/10/2020,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot II,4/10/2020,,,,TRUE,Feast of Tabernacles,4,Jewish Holidays
Sukkot III (CH''M),5/10/2020,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot IV (CH''M),6/10/2020,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot V (CH''M),7/10/2020,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VI (CH''M),8/10/2020,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Sukkot VII (Hoshana Raba),9/10/2020,,,,TRUE,Feast of Tabernacles,3,Jewish Holidays
Shmini Atzeret,10/10/2020,,,,TRUE,Eighth Day of Assembly,4,Jewish Holidays
Simchat Torah,11/10/2020,,,,TRUE,Day of Celebrating the Torah,4,Jewish Holidays
Rosh Chodesh Cheshvan,18/10/2020,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Rosh Chodesh Cheshvan,19/10/2020,,,,TRUE,Beginning of new Hebrew month of Cheshvan,3,Jewish Holidays
Yom HaAliyah,25/10/2020,,,,TRUE,Recognizes Aliyah; immigration to the Jewish State of Israel,3,Jewish Holidays
Sigd,16/11/2020,,,,TRUE,Ethiopian Jewish holiday occurring 50 days after Yom Kippur,3,Jewish Holidays
Rosh Chodesh Kislev,17/11/2020,,,,TRUE,Beginning of new Hebrew month of Kislev,3,Jewish Holidays
Chanukah: 1 Candle,10/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 2 Candles,11/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 3 Candles,12/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 4 Candles,13/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 5 Candles,14/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 6 Candles,15/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Rosh Chodesh Tevet,16/12/2020,,,,TRUE,Beginning of new Hebrew month of Tevet,3,Jewish Holidays
Chanukah: 7 Candles,16/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8 Candles,17/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Chanukah: 8th Day,18/12/2020,,,,TRUE,The Jewish festival of rededication; also known as the Festival of Lights,3,Jewish Holidays
Asara B'Tevet,25/12/2020,,,,TRUE,Fast commemorating the siege of Jerusalem,3,Jewish Holidays
Rosh Chodesh Sh'vat,14/1/2021,,,,TRUE,Beginning of new Hebrew month of Sh'vat,3,Jewish Holidays
Tu BiShvat,28/1/2021,,,,TRUE,New Year for Trees,3,Jewish Holidays
Rosh Chodesh Adar,12/2/2021,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Rosh Chodesh Adar,13/2/2021,,,,TRUE,Beginning of new Hebrew month of Adar,3,Jewish Holidays
Shabbat Shekalim,13/2/2021,,,,TRUE,Shabbat before Rosh Chodesh Adar,3,Jewish Holidays
Shabbat Zachor,20/2/2021,,,,TRUE,Shabbat before Purim,3,Jewish Holidays
Ta'anit Esther,25/2/2021,,,,TRUE,Fast of Esther,3,Jewish Holidays
Erev Purim,25/2/2021,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Purim,26/2/2021,,,,TRUE,Purim is one of the most joyous and fun holidays on the Jewish calendar,3,Jewish Holidays
Shushan Purim,28/2/2021,,,,TRUE,Purim celebrated in Jerusalem and walled cities,3,Jewish Holidays
Shabbat Parah,6/3/2021,,,,TRUE,Shabbat of the Red Heifer,3,Jewish Holidays
Shabbat HaChodesh,13/3/2021,,,,TRUE,Shabbat before Rosh Chodesh Nissan,3,Jewish Holidays
Rosh Chodesh Nisan,14/3/2021,,,,TRUE,Beginning of new Hebrew month of Nisan,3,Jewish Holidays
Ta'anit Bechorot,25/3/2021,,,,TRUE,Fast of the First Born,3,Jewish Holidays
Shabbat HaGadol,27/3/2021,,,,TRUE,Shabbat before Pesach,3,Jewish Holidays
Erev Pesach,27/3/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach I,28/3/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach II,29/3/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach III (CH''M),30/3/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach IV (CH''M),31/3/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach V (CH''M),1/4/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VI (CH''M),2/4/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,3,Jewish Holidays
Pesach VII,3/4/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Pesach VIII,4/4/2021,,,,TRUE,Passover; the Feast of Unleavened Bread,4,Jewish Holidays
Yom HaShoah,8/4/2021,,,,TRUE,Holocaust Memorial Day,3,Jewish Holidays
Rosh Chodesh Iyyar,12/4/2021,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Rosh Chodesh Iyyar,13/4/2021,,,,TRUE,Beginning of new Hebrew month of Iyyar,3,Jewish Holidays
Yom HaZikaron,14/4/2021,,,,TRUE,Israeli Memorial Day,3,Jewish Holidays
Yom HaAtzma'ut,15/4/2021,,,,TRUE,Israeli Independence Day,3,Jewish Holidays
Pesach Sheni,26/4/2021,,,,TRUE,Second Passover; one month after Passover,3,Jewish Holidays
Lag BaOmer,30/4/2021,,,,TRUE,33rd day of counting the Omer,3,Jewish Holidays
Yom Yerushalayim,10/5/2021,,,,TRUE,Jerusalem Day,3,Jewish Holidays
Rosh Chodesh Sivan,12/5/2021,,,,TRUE,Beginning of new Hebrew month of Sivan,3,Jewish Holidays
Erev Shavuot,16/5/2021,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,3,Jewish Holidays
Shavuot I,17/5/2021,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Shavuot II,18/5/2021,,,,TRUE,Festival of Weeks; commemorates the giving of the Torah at Mount Sinai,4,Jewish Holidays
Rosh Chodesh Tamuz,10/6/2021,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Rosh Chodesh Tamuz,11/6/2021,,,,TRUE,Beginning of new Hebrew month of Tamuz,3,Jewish Holidays
Tzom Tammuz,27/6/2021,,,,TRUE,Fast commemorating breaching of the walls of Jerusalem before the destruction of the Second Temple,3,Jewish Holidays
Rosh Chodesh Av,10/7/2021,,,,TRUE,Beginning of new Hebrew month of Av,3,Jewish Holidays
Shabbat Chazon,17/7/2021,,,,TRUE,Shabbat before Tish'a B'Av (Shabbat of Prophecy/Shabbat of Vision),3,Jewish Holidays
